Restaurant_Name,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Cuisine,Place_Name,City,Item_Name,Best_Seller,Votes,Prices,Average_Rating,Total_Votes,Price_per_Vote,Log_Price,Is_Bestseller,Restaurant_Popularity,Avg_Rating_Restaurant,Avg_Price_Restaurant,Avg_Rating_Cuisine,Avg_Price_Cuisine,Avg_Rating_City,Avg_Price_City,Is_Highly_Rated,Is_Expensive
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,84,249,4.05,39,2.929411765,5.521460918,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Rumali Shawarma,BESTSELLER,45,129,4.05,39,2.804347826,4.86753445,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Salad,NONE,39,189,4.05,39,4.725,5.247024072,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken BBQ Salad,BESTSELLER,43,189,4.05,39,4.295454545,5.247024072,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,MUST TRY,31,205,4.05,39,6.40625,5.327876169,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Pizza [8 inches],BESTSELLER,48,199,4.05,39,4.06122449,5.298317367,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Zinger Tortilla Wrap,CHEF'S SPECIAL,27,165,4.05,39,5.892857143,5.111987788,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Popcorn [20 Pieces],BESTSELLER,59,165,4.05,39,2.75,5.111987788,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Sandwich,NONE,29,115,4.05,39,3.833333333,4.753590191,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Bread Samoli Shawarma,NONE,31,129,4.05,39,4.03125,4.86753445,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Fish Platter [Boneless Indian Basa],NONE,9,295,4.05,39,29.5,5.690359454,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,27,279,4.05,39,9.964285714,5.634789603,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Doner Kebab,MUST TRY,5,159,4.05,39,26.5,5.075173815,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Shawarma,MUST TRY,5,129,4.05,39,21.5,4.86753445,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,French Fries + Coke [220 ml],NONE,0,199,4.05,39,199,5.298317367,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,84,249,4.05,39,2.929411765,5.521460918,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,27,279,4.05,39,9.964285714,5.634789603,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Kebab Wrap Combo,BESTSELLER,26,205,4.05,39,7.592592593,5.327876169,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,CHEF'S SPECIAL,31,205,4.05,39,6.40625,5.327876169,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Taco,BESTSELLER,184,249,4,117,1.345945946,5.521460918,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Big Bell Box - Veg,BESTSELLER,183,299,4,117,1.625,5.703782475,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Big Bell Box - Non Veg,BESTSELLER,103,349,4,117,3.355769231,5.857933154,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,1
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,7 Layer Burrito - Non veg,BESTSELLER,62,279,4,117,4.428571429,5.634789603,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Soft Taco Mexican Paneer,BESTSELLER,42,119,4,117,2.76744186,4.787491743,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Churro Bombs,NONE,27,109,4,117,3.892857143,4.700480366,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Crunchy Taco Pinto Bean,NONE,86,109,4,117,1.252873563,4.700480366,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Cheesy Fries,BESTSELLER,27,129,4,117,4.607142857,4.86753445,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,7 Layer Burrito - Veg,NONE,43,259,4,117,5.886363636,5.560681631,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Ultimate Rice Bowl - Non Veg,BESTSELLER,18,209,4,117,11,5.347107531,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Nachos,BESTSELLER,49,189,4,117,3.78,5.247024072,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Crunchy Taco Mexican Chicken,NONE,139,119,4,117,0.85,4.787491743,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,0
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Taco Meal,BESTSELLER,19,378,4,117,18.9,5.937536205,1,97,4,192.5007216,3.962177217,188.053764,3.939031141,245.1304823,1,1
